ring_number,tag_id,datetime,location_name,latitude,longitude,observation_type,device_status,observer,catching_method,life_stage,sex,condition,mass,wing_length,additional_metric,observation_comments
E46130,20JO,2017-12-15T05:44:00Z,"Mogalakwena (Kwaaiwater), Limpopo, South Africa",-22.7300634,28.7816185,equipment,present,Dayo Osinubi,M,2,U,alive,68,113,,Deployed Geolocator 20JO. Check brood patch photo | color_ring: Purple/Red-R
E46130,,2021-01-04T16:18:00Z,"Mogalakwena (Kwaaiwater), Limpopo, South Africa",-22.73030883,28.77988893,capture,present,Dayo Osinubi,B,2,U,alive,67.06,116,,Right P2 broken. Check photo. | color_ring: Purple/Red - R
E46131,20IP,2017-12-16T06:47:00Z,"Mogalakwena (Kwaaiwater), Limpopo, South Africa",-22.730019,28.7816211,equipment,present,Dayo Osinubi,M,2,U,alive,62,112,,Deployed Geolocator 20IP. Suspected offspring from last year of E46111. | color_ring: Lime/Red-R
E46132,20IK,2017-12-17T06:39:00Z,"Mogalakwena (Artist Retreat), Limpopo, South Africa",-22.7466829,28.7814561,equipment,present,Dayo Osinubi,M,2,U,alive,69,111,,Deployed Geolocator 20IK. Check photo for brood patch | color_ring: Green/Red-R
E46132,20IK,2018-12-30T05:30:00Z,"Mogalakwena (Artist Retreat), Limpopo, South Africa",-22.747111,28.7814398,retrieval,present,Dayo Osinubi,M,2,U,alive,60.3,113,,Retrieved Geolocator 20IK. Deployed Geolocator 22NR | color_ring: Green/Red-R
E46132,22NR,2018-12-30T05:30:00Z,"Mogalakwena (Artist Retreat), Limpopo, South Africa",-22.747111,28.7814398,equipment,present,Dayo Osinubi,M,2,U,alive,60.3,113,,Retrieved Geolocator 20IK. Deployed Geolocator 22NR | color_ring: Green/Red-R
E46134,20IQ,2017-12-18T04:06:00Z,"Mogalakwena (Kwaaiwater), Limpopo, South Africa",-22.7301477,28.7815802,equipment,present,Dayo Osinubi,M,2,U,alive,66,110,,Deployed Geolocator 20IQ | color_ring: Yellow/Red-R
E46134,,2021-01-04T03:56:00Z,"Mogalakwena (Kwaaiwater), Limpopo, South Africa",-22.73010102,28.78164309,capture,present,Dayo Osinubi,M,2,U,alive,67.38,116,,Removed colour rings (Yellow/Red - R). Check photos. | 
E46136,20IC,2017-12-21T03:18:00Z,"Mogalakwena (Poachers' Corner), Limpopo, South Africa",-22.7254417,28.7749566,equipment,present,Dayo Osinubi,M,2,U,alive,63,112,,Deployed Geolocator 20IC. Healing injury on right wing. Check photo for brood patch | color_ring: Red/Black-R
E46142,20IR,2017-12-27T05:13:00Z,"Mogalakwena (Fence Boundary), Limpopo, South Africa",-22.71285249,28.76984491,equipment,present,Dayo Osinubi,B,2,U,alive,63,112,,Deployed Geolocator 20IR | color_ring: Red/Purple-R
E46143,20IL,2017-12-27T05:38:00Z,"Mogalakwena (Fence Boundary), Limpopo, South Africa",-22.71522771,28.77001657,equipment,present,Dayo Osinubi,B,2,U,alive,67,110,,Deployed Geolocator 20IL. Possibly female. Check if all females have pink legs and males black | color_ring: Red/White-R
E46149,,2018-11-29T05:36:00Z,"NZG Mokopane (), Limpopo, South Africa",-24.17253223,29.01851624,capture,,Abigail Ramudzuli,M,2,U,alive,65.2,120,,
E57801,22NP,2019-01-09T05:40:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.7254083,28.7749111,equipment,present,Abigail Ramudzuli,B,2,U,alive,65.4,111,,"Deployed Geolocator 22NP. Brood patch, check photo. | color_ring: Purple / Black - R"
E57802,22PA,2019-01-11T04:09:00Z,"Mogalakwena (Wedding Venue), Limpopo, South Africa",-22.7278078,28.7578789,equipment,present,Dayo Osinubi,M,2,U,alive,53.4,112,,Deployed Geolocator 22PA. Moulting tail feathers. tail samples: outer left and moulting right | color_ring: White/Black-Right
E57803,,2019-01-11T04:59:00Z,"Mogalakwena (Wedding Venue), Limpopo, South Africa",-22.7278078,28.7578789,capture,present,Dayo Osinubi,M,2,U,alive,60.3,113,,"Injury on bird tibiotarsus (right), check photo. No geolocator deployed | color_ring: Lime/Black-R"
E57804,22MW,2019-01-11T06:00:00Z,"Mogalakwena (Wedding Venue), Limpopo, South Africa",-22.7202468,28.7692232,equipment,present,Dayo Osinubi,M,2,U,alive,61.2,116,,Deployed Geolocator 22MW. Check photo for brood patch. | color_ring: Yellow/Black-Right
E57805,22NQ,2019-01-14T17:02:00Z,"Mogalakwena (Kwaaiwater), Limpopo, South Africa",-22.7306478,28.7809402,equipment,present,Dayo Osinubi,M,2,U,alive,64.5,115,,Deployed Geolocator 22NQ. Check photos for brood patch; secondary feather dropped in 70% ethanol | color_ring: Black-Right
E57808,,2020-12-30T06:27:00Z,"Mogalakwena (Lodge), Limpopo, South Africa",-22.72542528,28.77468544,capture,present,Sara Abassbhay,M,2,U,alive,61.68,116,,
E57809,,2021-01-04T16:35:00Z,"Mogalakwena (Kwaaiwater), Limpopo, South Africa",-22.73052159,28.78005523,capture,present,Dayo Osinubi,B,2,U,alive,60.28,115,,
E57850,,2020-12-29T05:11:00Z,"Mogalakwena (Kwaaiwater), Limpopo, South Africa",-22.73009608,28.78166455,capture,present,Grietjie Stander,M,2,U,alive,64.72,116,,
