doy,lat,ndvi
32.0,-4.0,7648.503110482973
32.0,-3.0,7584.685621916333
32.0,-2.0,7520.443903124671
32.0,-1.0,7392.594906266192
32.0,0.0,7328.214596884884
32.0,1.0,7328.178301237965
32.0,2.0,7392.161317696641
32.0,3.0,7264.885705376984
32.0,4.0,5327.062670299728
32.0,5.0,4655.674843055653
32.0,6.0,3855.433193167966
32.0,7.0,3679.5326470846317
32.0,8.0,3631.4312661629738
32.0,9.0,3215.531656482613
32.0,10.0,2639.6211286054986
32.0,11.0,2223.3564936013595
32.0,12.0,1967.2548483212693
32.0,13.0,1807.654603710235
32.0,14.0,1615.4579148459613
32.0,15.0,1295.331437665902
32.0,16.0,1135.5089117125178
32.0,17.0,1071.1923778088776
32.0,18.0,1007.4378109119407
32.0,19.0,975.017589382028
48.0,-28.0,5600.7877178925755
48.0,-27.0,5919.341680004388
48.0,-26.0,5664.027552180235
48.0,-25.0,5471.941275932519
48.0,-24.0,5087.855654770253
48.0,-23.0,4752.05459770115
48.0,-22.0,4703.237524668734
48.0,-21.0,5279.721832529593
48.0,-20.0,5599.498943937956
48.0,-19.0,6111.613085881355
48.0,-18.0,6496.049595691257
48.0,-17.0,6815.871651417623
48.0,-16.0,6944.088592825456
48.0,-15.0,7343.838903708666
48.0,-14.0,7535.894951345935
48.0,-13.0,7775.78298475635
48.0,-12.0,7712.971986161544
48.0,-11.0,7712.225417020995
48.0,-10.0,7711.896754665275
48.0,-9.0,7648.615204079638
48.0,-8.0,7648.140817011058
48.0,-7.0,7583.547585667999
48.0,-6.0,7520.135462234416
48.0,-5.0,7519.87101372406
48.0,-4.0,7584.902951842508
48.0,-3.0,7649.096587250483
48.0,-2.0,7584.914172488567
48.0,-1.0,7521.827462244588
48.0,0.0,7585.722274165408
48.0,1.0,7584.905175862178
48.0,2.0,7584.941112087074
48.0,3.0,7343.862990563673
48.0,4.0,5487.930759803921
48.0,5.0,4879.730069764656
48.0,6.0,4144.043970824782
48.0,7.0,3887.680153499625
48.0,8.0,3599.744829337914
48.0,9.0,3087.626540370717
48.0,10.0,2511.7581474195977
48.0,11.0,2127.626909317403
48.0,12.0,1903.303653584213
48.0,13.0,1775.69744898241
48.0,14.0,1583.8745142611451
48.0,15.0,1295.7054297519453
48.0,16.0,1135.613770407507
48.0,17.0,1071.5977016323684
48.0,18.0,1007.3916719484716
48.0,19.0,975.7229584144594
64.0,-28.0,5408.316683760079
64.0,-27.0,5728.488933972704
64.0,-26.0,5536.915829160495
64.0,-25.0,5343.636884693727
64.0,-24.0,4959.72200993504
64.0,-23.0,4623.28709684124
64.0,-22.0,4703.24300461831
64.0,-21.0,5344.111453605099
64.0,-20.0,5664.09114318954
64.0,-19.0,6111.866765861986
64.0,-18.0,6495.566110681861
64.0,-17.0,6816.236144593115
64.0,-16.0,6879.672045964167
64.0,-15.0,7343.876399335433
64.0,-14.0,7567.577300819517
64.0,-13.0,7776.333090517626
64.0,-12.0,7776.601114626431
64.0,-11.0,7712.2679473967355
64.0,-10.0,7711.859503393649
64.0,-9.0,7584.046273912949
64.0,-8.0,7648.2077918541045
64.0,-7.0,7520.17528454048
64.0,-6.0,7456.239757424755
64.0,-5.0,7455.879851362511
64.0,-4.0,7520.643676977713
64.0,-3.0,7778.257057375131
64.0,-2.0,7841.248423987773
64.0,-1.0,7841.620898566923
64.0,0.0,7777.927771727745
64.0,1.0,7776.821507067631
64.0,2.0,7649.62327506122
64.0,3.0,7439.868186621034
64.0,4.0,6031.837507918638
64.0,5.0,5423.547789504348
64.0,6.0,4591.604645012643
64.0,7.0,4208.034521973459
64.0,8.0,3663.8315377081294
64.0,9.0,3055.8222892002022
64.0,10.0,2415.762389399777
64.0,11.0,2071.6886848915
64.0,12.0,1839.502073665457
64.0,13.0,1711.9864880907396
64.0,14.0,1583.7459481161777
64.0,15.0,1295.6958755621772
64.0,16.0,1135.6560032897955
64.0,17.0,1071.5428531061739
64.0,18.0,1007.5623991310897
64.0,19.0,976.463656306166
80.0,-28.0,5280.333850852273
80.0,-27.0,5472.253361314446
80.0,-26.0,5343.177798600889
80.0,-25.0,5280.147150663544
80.0,-24.0,4895.569260748292
80.0,-23.0,4560.118000147594
80.0,-22.0,4638.911208915693
80.0,-21.0,5215.628045519346
80.0,-20.0,5535.532690530229
80.0,-19.0,5983.443361838204
80.0,-18.0,6239.865988722747
80.0,-17.0,6623.83567074705
80.0,-16.0,6688.015494470347
80.0,-15.0,7199.957242671862
80.0,-14.0,7471.478760061354
80.0,-13.0,7712.337759811429
80.0,-12.0,7712.416975954154
80.0,-11.0,7648.420123338759
80.0,-10.0,7647.942978245822
80.0,-9.0,7583.79753749664
80.0,-8.0,7584.139728469077
80.0,-7.0,7519.768362177665
80.0,-6.0,7392.288658762559
80.0,-5.0,7455.526662869908
80.0,-4.0,7582.979330561827
80.0,-3.0,7970.18407960199
80.0,-2.0,7969.793218159962
80.0,-1.0,8033.05517024686
80.0,0.0,8033.711668580773
80.0,1.0,8032.947269459027
80.0,2.0,7969.2057013403755
80.0,3.0,7777.294066610544
80.0,4.0,6735.913985148515
80.0,5.0,6096.236123504022
80.0,6.0,4976.086078639745
80.0,7.0,4319.470096982759
80.0,8.0,3663.723765432099
80.0,9.0,3023.782838365125
80.0,10.0,2351.8414215120906
80.0,11.0,1991.6715769549073
80.0,12.0,1807.4289602742324
80.0,13.0,1679.925418970763
80.0,14.0,1551.8238302393775
80.0,15.0,1263.7766114326068
80.0,16.0,1135.4755169938715
80.0,17.0,1071.3241904464096
80.0,18.0,1007.6931062723305
80.0,19.0,1007.342597632414
96.0,-28.0,4831.921389826682
96.0,-27.0,5023.650453269501
96.0,-26.0,5023.6103308364545
96.0,-25.0,5215.596575703234
96.0,-24.0,4767.656678942082
96.0,-23.0,4431.195
96.0,-22.0,4510.4952481487235
96.0,-21.0,5087.892753765516
96.0,-20.0,5343.868220578151
96.0,-19.0,5727.564351506912
96.0,-18.0,5919.840231835812
96.0,-17.0,6239.817303707569
96.0,-16.0,6367.609544201447
96.0,-15.0,6943.321706697561
96.0,-14.0,7263.621649752798
96.0,-13.0,7584.544943794719
96.0,-12.0,7584.964802765252
96.0,-11.0,7584.168820751906
96.0,-10.0,7519.6004174506925
96.0,-9.0,7392.147809739257
96.0,-8.0,7392.116037164273
96.0,-7.0,7264.00910452317
96.0,-6.0,7200.058613874134
96.0,-5.0,7264.270274088725
96.0,-4.0,7519.73632639693
96.0,-3.0,8033.828689043698
96.0,-2.0,8098.150550912031
96.0,-1.0,8161.803238033449
96.0,0.0,8161.5474146445895
96.0,1.0,8161.242804833155
96.0,2.0,8161.420321067171
96.0,3.0,8112.591067610016
96.0,4.0,7407.569793787091
96.0,5.0,6895.759061647323
96.0,6.0,5647.819615912208
96.0,7.0,4703.640684011751
96.0,8.0,3920.144019138756
96.0,9.0,3119.9791581956406
96.0,10.0,2383.8102486978905
96.0,11.0,1991.707543595235
96.0,12.0,1783.7179326317366
96.0,13.0,1647.8878707432034
96.0,14.0,1519.734665085078
96.0,15.0,1263.7147895239655
96.0,16.0,1135.621089110645
96.0,17.0,1071.4237360221146
96.0,18.0,1007.7027687101156
96.0,19.0,1007.4093961919763
112.0,-28.0,4320.012558829071
112.0,-27.0,4383.360403863037
112.0,-26.0,4511.788467069313
112.0,-25.0,4832.174511368169
