date,mean_2m_air_temperature,total_precipitation
1979-08-31,298.5766296,2.54E-04
1979-09-01,295.3570557,5.72E-05
1979-09-02,293.1389465,6.37E-06
1979-09-03,291.0730286,2.53E-04
1979-09-04,289.7215576,6.58E-05
1979-09-05,289.4101257,9.97E-06
1979-09-06,289.0748596,8.57E-08
1979-09-07,292.1938782,1.84E-06
1979-09-08,288.7732849,5.06E-06
1979-09-09,289.7472839,1.86E-09
1979-09-10,291.0959778,4.19E-08
1979-09-11,292.72229,0
1979-09-12,293.5279846,0
1979-09-13,296.4179382,0
1979-09-14,293.0543213,1.77E-04
1979-09-15,296.4309082,0
1979-09-16,299.0458679,0
1979-09-17,294.7219543,0
1979-09-18,295.9490051,0
1979-09-19,295.14328,3.84E-04
1979-09-20,296.4968262,4.98E-04
1979-09-21,297.5890503,0
1979-09-22,300.4221191,0
1979-09-23,302.3313904,0
1979-09-24,297.0516663,9.32E-06
1979-09-25,295.2506714,4.97E-05
1979-09-26,298.24823,1.58E-05
1979-09-27,297.6646729,1.26E-05
1979-09-28,298.3930054,9.34E-06
1979-09-29,300.2964172,0
1979-09-30,302.6474304,1.86E-09
1979-10-01,303.2573547,4.28E-08
1979-10-02,304.6495056,1.07E-04
1979-10-03,298.96521,0
1979-10-04,297.7189026,8.24E-07
1979-10-05,299.9580688,2.67E-04
1979-10-06,295.6333618,0.001052218
1979-10-07,295.2791443,2.63E-05
1979-10-08,297.2295227,4.28E-08
1979-10-09,299.1303406,0
1979-10-10,300.6221313,1.86E-09
1979-10-11,302.2657471,2.72E-06
1979-10-12,298.144043,2.00E-05
1979-10-13,297.6826172,7.41E-06
1979-10-14,300.4444885,2.69E-04
1979-10-15,296.1270752,0.001323398
1979-10-16,291.7618408,9.33E-04
1979-10-17,293.9338074,3.80E-04
1979-10-18,298.6045837,4.47E-08
1979-10-19,297.9762268,0.002563182
1979-10-20,296.5993347,0.019534746
1979-10-21,297.7172546,0.017702209
1979-10-22,295.3666687,0.009089051
1979-10-23,297.1405945,4.98E-05
1979-10-24,296.8563232,1.51E-05
1979-10-25,299.6118164,0
1979-10-26,299.7740173,0
1979-10-27,300.9081116,0
1979-10-28,301.1853027,6.53E-04
1979-10-29,293.3591309,4.62E-04
1979-10-30,295.684967,0.011194929
1979-10-31,288.979187,0.025778424
1979-11-01,291.8642273,5.38E-05
1979-11-02,295.8765564,0
1979-11-03,298.1427307,0
1979-11-04,299.6637878,0
1979-11-05,300.2889099,0
1979-11-06,298.2606812,0
1979-11-07,299.3268738,4.50E-06
1979-11-08,297.6425781,0.005522838
1979-11-09,290.7375793,0.010523627
1979-11-10,289.4165955,0.009113066
1979-11-11,292.0960388,5.95E-05
1979-11-12,295.5073547,2.86E-04
1979-11-13,296.8686829,5.16E-04
1979-11-14,298.4509888,0.00648324
1979-11-15,298.2454224,0.006206499
1979-11-16,295.4146423,1.12E-04
1979-11-17,294.6671448,5.35E-04
1979-11-18,295.9551697,1.12E-04
1979-11-19,297.2905579,9.43E-07
1979-11-20,298.8855896,4.47E-08
1979-11-21,299.9190674,1.36E-04
1979-11-22,298.6965332,3.78E-04
1979-11-23,300.1423035,1.62E-04
1979-11-24,299.3887024,0.010655989
1979-11-25,294.1122437,0.011832668
1979-11-26,293.5890198,0.005263599
1979-11-27,298.1630554,5.99E-05
1979-11-28,297.0586853,1.21E-04
1979-11-29,299.7613831,5.07E-07
1979-11-30,303.1524353,0
1979-12-01,303.0613098,0
1979-12-02,302.3523254,0
1979-12-03,302.5741882,4.09E-04
1979-12-04,297.9775391,0.004920297
1979-12-05,294.7603455,2.49E-04
1979-12-06,295.4387512,6.32E-05
1979-12-07,298.4282227,1.67E-05
1979-12-08,301.4838867,0
1979-12-09,301.9513855,9.73E-04
1979-12-10,297.7227478,6.80E-04
1979-12-11,297.9309998,8.63E-04
1979-12-12,300.5917053,6.42E-05
1979-12-13,297.9815979,6.29E-04
1979-12-14,296.006012,3.91E-04
1979-12-15,298.8598328,0
1979-12-16,302.2276917,0
1979-12-17,302.8345337,2.41E-04
1979-12-18,301.2936707,0
1979-12-19,299.4814453,1.86E-09
1979-12-20,301.6604614,4.28E-08
1979-12-21,301.7680359,0
1979-12-22,302.8579407,3.19E-04
1979-12-23,301.6451111,0.003897658
1979-12-24,299.7345886,3.83E-04
1979-12-25,299.8291321,0.003640243
1979-12-26,299.2076721,0.014235181
1979-12-27,294.5910339,0.013337065
